Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
my,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.999,-2.439999451108362,0,1214,4,163,1381
my,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.999,-0.4046387473256521,3,1154,1,150,1308
my,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.999,-2.2987269879186463,1,1216,3,161,1381
my,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.999,0.7474543607336686,1,1154,1,152,1308
my,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.999,-0.513559603160179,2,1230,2,163,1397
my,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.999,-2.518199762211503,2,1231,2,162,1397
my,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.999,1.9802807789778087,8,3082,0,338,3428
my,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.999,-1.7952673596034523,9,5785,6,717,6517
my,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.999,-2.5157598281380347,1,4026,9,529,4565
my,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.999,-5.305228049098506,11,8525,10,1024,9570
my,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.999,-4.33,0,1407,3,190,1600
my,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.999,-2.7572966681504925,4,15767,34,1495,17300
my,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.999,-2.209014023858761,46,19677,0,2222,21945
my,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.999,0.7515835391961901,1,1620,1,216,1838
my,reward_low_FN_rate,realTraffic/speed_7578.csv,0.999,-2.4461321318040694,3,842,0,113,958
my,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.999,1.7250312653972455,5,1875,0,245,2125
my,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.999,0.5489785793156143,1,1781,3,238,2023
my,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.999,1.4494883484563441,5,1871,0,245,2121
my,reward_low_FN_rate,realTraffic/speed_6005.csv,0.999,0.5093187159363497,3,1883,3,236,2125
my,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.999,-3.4745429042760585,1,1873,3,248,2125
my,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.999,-0.7205054351336058,18,13550,14,1570,15152
my,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.999,1.5184056047775214,20,13548,11,1573,15152
my,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.999,0.010005865878080278,9,13485,16,1573,15083
my,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.999,0.5201982885508774,5,13494,26,1583,15108
my,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.999,-0.2935828832338395,11,13532,21,1579,15143
my,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.999,-4.203807533195164,7,13505,26,1578,15116
my,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.999,1.6339274560360617,12,13482,19,1568,15081
my,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.999,0.15723279257031242,8,13491,23,1579,15101
my,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.999,1.0940884163869882,15,13561,16,1511,15103
my,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.999,-0.8879449403459962,23,13653,7,1409,15092
Totals,,,,-46.75753571388168,320,298915,432,33175,332842
